timestamp,value,label
2022-12-01 17:05:03.005009+00:00,0.807990253,FIT 401
2022-12-01 17:05:03.113095+00:00,0.8086305,FIT 401
2022-12-01 17:05:03.145575+00:00,0.80927074,FIT 401
2022-12-01 17:05:03.184635+00:00,0.80927074,FIT 401
2022-12-01 17:05:03.210013+00:00,0.80927074,FIT 401
2022-12-01 17:05:03.259181+00:00,0.80927074,FIT 401
2022-12-01 17:05:03.284260+00:00,0.80927074,FIT 401
2022-12-01 17:05:03.311046+00:00,0.8069659,FIT 401
2022-12-01 17:05:03.339574+00:00,0.8069659,FIT 401
2022-12-01 17:05:03.365315+00:00,0.8069659,FIT 401
2022-12-01 17:05:03.391378+00:00,0.808758557,FIT 401
2022-12-01 17:05:03.417305+00:00,0.808758557,FIT 401
2022-12-01 17:05:03.443236+00:00,0.807350039,FIT 401
2022-12-01 17:05:03.485598+00:00,0.8056854,FIT 401
2022-12-01 17:05:03.514698+00:00,0.8056854,FIT 401
2022-12-01 17:05:03.541501+00:00,0.8056854,FIT 401
2022-12-01 17:05:03.567455+00:00,0.8077342,FIT 401
2022-12-01 17:05:03.593535+00:00,0.809526861,FIT 401
2022-12-01 17:05:03.619769+00:00,0.809526861,FIT 401
2022-12-01 17:05:03.645831+00:00,0.809526861,FIT 401
2022-12-01 17:05:03.670452+00:00,0.8086305,FIT 401
2022-12-01 17:05:03.694801+00:00,0.8086305,FIT 401
2022-12-01 17:05:03.717260+00:00,0.8086305,FIT 401
2022-12-01 17:05:03.738655+00:00,0.8086305,FIT 401
2022-12-01 17:05:03.761464+00:00,0.8086305,FIT 401
2022-12-01 17:05:03.783827+00:00,0.8054293,FIT 401
2022-12-01 17:05:03.805956+00:00,0.8054293,FIT 401
2022-12-01 17:05:03.828750+00:00,0.8054293,FIT 401
2022-12-01 17:05:03.850661+00:00,0.8054293,FIT 401
2022-12-01 17:05:03.873449+00:00,0.8054293,FIT 401
2022-12-01 17:05:03.896061+00:00,0.8054293,FIT 401
2022-12-01 17:05:03.918488+00:00,0.806069553,FIT 401
2022-12-01 17:05:03.940923+00:00,0.8076061,FIT 401
2022-12-01 17:05:04.042157+00:00,0.8076061,FIT 401
2022-12-01 17:05:04.065258+00:00,0.806069553,FIT 401
2022-12-01 17:05:04.089009+00:00,0.8054293,FIT 401
2022-12-01 17:05:04.113590+00:00,0.8054293,FIT 401
2022-12-01 17:05:04.139084+00:00,0.8041488,FIT 401
2022-12-01 17:05:04.161903+00:00,0.8041488,FIT 401
2022-12-01 17:05:04.186408+00:00,0.8041488,FIT 401
2022-12-01 17:05:04.231872+00:00,0.8041488,FIT 401
2022-12-01 17:05:04.254524+00:00,0.8041488,FIT 401
2022-12-01 17:05:04.284166+00:00,0.8041488,FIT 401
2022-12-01 17:05:04.317662+00:00,0.8041488,FIT 401
2022-12-01 17:05:04.349544+00:00,0.805173159,FIT 401
2022-12-01 17:05:04.383737+00:00,0.805173159,FIT 401
2022-12-01 17:05:04.413187+00:00,0.805173159,FIT 401
2022-12-01 17:05:04.442179+00:00,0.8055573,FIT 401
2022-12-01 17:05:04.469271+00:00,0.805813432,FIT 401
2022-12-01 17:05:04.501770+00:00,0.8070939,FIT 401
2022-12-01 17:05:04.529966+00:00,0.8082464,FIT 401
2022-12-01 17:05:04.583998+00:00,0.8082464,FIT 401
2022-12-01 17:05:04.617453+00:00,0.8082464,FIT 401
2022-12-01 17:05:04.650854+00:00,0.8076061,FIT 401
2022-12-01 17:05:04.677857+00:00,0.8055573,FIT 401
2022-12-01 17:05:04.700113+00:00,0.8055573,FIT 401
2022-12-01 17:05:04.723265+00:00,0.8074781,FIT 401
2022-12-01 17:05:04.745041+00:00,0.8074781,FIT 401
2022-12-01 17:05:04.767221+00:00,0.8050451,FIT 401
2022-12-01 17:05:04.789199+00:00,0.8050451,FIT 401
2022-12-01 17:05:04.811412+00:00,0.805173159,FIT 401
2022-12-01 17:05:04.833742+00:00,0.8074781,FIT 401
2022-12-01 17:05:04.855687+00:00,0.8082464,FIT 401
2022-12-01 17:05:04.878239+00:00,0.8082464,FIT 401
2022-12-01 17:05:04.900671+00:00,0.8082464,FIT 401
2022-12-01 17:05:04.922361+00:00,0.8068378,FIT 401
2022-12-01 17:05:04.944612+00:00,0.8068378,FIT 401
2022-12-01 17:05:04.967733+00:00,0.8068378,FIT 401
2022-12-01 17:05:04.990430+00:00,0.8068378,FIT 401
2022-12-01 17:05:05.015669+00:00,0.8064537,FIT 401
2022-12-01 17:05:05.039870+00:00,0.804789066,FIT 401
2022-12-01 17:05:05.063225+00:00,0.804789066,FIT 401
2022-12-01 17:05:05.086908+00:00,0.804789066,FIT 401
2022-12-01 17:05:05.110124+00:00,0.8041488,FIT 401
2022-12-01 17:05:05.133550+00:00,0.802228034,FIT 401
2022-12-01 17:05:05.170975+00:00,0.802228034,FIT 401
2022-12-01 17:05:05.196249+00:00,0.802228034,FIT 401
2022-12-01 17:05:05.220176+00:00,0.802228034,FIT 401
2022-12-01 17:05:05.244566+00:00,0.802228034,FIT 401
2022-12-01 17:05:05.267168+00:00,0.802228034,FIT 401
2022-12-01 17:05:05.289751+00:00,0.802484155,FIT 401
2022-12-01 17:05:05.313138+00:00,0.8038927,FIT 401
2022-12-01 17:05:05.338653+00:00,0.8054293,FIT 401
2022-12-01 17:05:05.371891+00:00,0.8054293,FIT 401
2022-12-01 17:05:05.393121+00:00,0.8064537,FIT 401
2022-12-01 17:05:05.414950+00:00,0.8064537,FIT 401
2022-12-01 17:05:05.436114+00:00,0.8070939,FIT 401
2022-12-01 17:05:05.458731+00:00,0.8077342,FIT 401
